lsm6dso_acceleration_sensor.x,lsm6dso_acceleration_sensor.y,lsm6dso_acceleration_sensor.z,rms_acc,lsm6dso_gyroscope_sensor.x,lsm6dso_gyroscope_sensor.y,lsm6dso_gyroscope_sensor.z,rms_gyro
-36.17519,-5.868488,-78.19223,86.35455029,2.3868797,2.1735349,1.0322095,3.389233706
-35.7179,-14.825496,-8.071154,39.50578741,-9.928164,0.6304893,1.7933476,10.10851388
-33.263542,-0.4357447,-16.427216,37.10130086,-6.9886804,2.2969296,5.309488,9.072386794
-34.566288,-3.3039982,6.354511,35.30048839,-3.3961816,2.4832435,9.526901,10.41452785
-25.57576,-6.974609,-4.7979803,26.94040247,-1.3375658,1.2040918,9.237351,9.411034631
-22.046408,-6.038476,-2.372654,22.9812268,-2.3448825,1.2211959,6.710202,7.212253756
-26.58372,-5.432743,-5.92116,27.77173025,-2.2428682,1.3262649,5.8048997,6.36288432
-21.36406,-6.7256117,-5.234024,23.00112866,-2.9520826,1.0208322,5.0034447,5.898419189
8.51408,-51.474438,10.953772,53.31127879,0.7424303,-0.37866008,10.201908,10.23589337
32.035316,-57.670933,16.175825,67.92536565,-0.39683333,-1.7922022,-3.784463,4.206141417
-6.584354,-27.390566,-1.3575124,28.20353991,0.5500078,-1.7750981,-7.7819653,8.000779073
-37.14963,4.1180267,-4.7405195,37.67659324,1.8896353,-0.9162215,-5.6188912,5.998509958
-21.304205,-0.062249243,0.61530983,21.31317977,3.5469127,-2.6400833,-6.639036,7.976680296
-22.506094,-6.9482727,-1.6017209,23.60864821,0.47853658,-3.6235762,-8.063574,8.853277777
-31.726465,-10.3336735,2.5210943,33.46205771,1.2134074,-2.0499873,-9.668928,9.958060761
-37.841557,-3.4452562,2.540248,38.08288443,5.3837843,-3.3999996,-7.006166,9.467391018
-35.61734,10.312126,-37.942112,53.05222629,-0.6527859,-2.913751,-4.0172024,5.005396033
-45.091496,19.000984,-27.754484,56.25470457,7.846793,-0.51121783,0.33826664,7.870700628
-40.353073,-1.8938135,-34.63572,53.21268768,-9.528658,1.5101353,2.6137397,9.995372285
-31.522957,7.340922,-1.7645266,32.41449534,-5.777334,1.5089135,4.297895,7.357058483
-29.337051,-1.553837,1.6065093,29.42206388,-4.16465,-0.10315987,7.7547817,8.802930807
-28.843845,-7.8724346,-2.171541,29.97762851,-1.132926,0.62438065,8.932529,9.025710324
-26.794409,-8.099884,-5.2364182,28.47750955,-2.2728004,0.18028161,7.4096427,7.752478833
-28.508657,-7.0799537,-7.805397,30.39397129,-1.5782467,0.33055446,6.9081225,7.093820224
-19.391237,-20.214844,-1.9081788,28.07670096,-2.2770765,-0.051847186,7.140862,7.495310242
36.227863,-52.245373,2.5498247,63.62812793,1.0319805,0.65919995,5.834832,5.961945387
30.93159,-49.848774,6.6035075,59.036174,0.5933792,-0.47090074,-3.1247284,3.215240886
-7.972991,-24.457369,-1.3239936,25.75819176,1.5310574,-0.47090074,-8.06785,8.225332084
