lsm6dso_acceleration_sensor.x,lsm6dso_acceleration_sensor.y,lsm6dso_acceleration_sensor.z,rms_acc,lsm6dso_gyroscope_sensor.x,lsm6dso_gyroscope_sensor.y,lsm6dso_gyroscope_sensor.z,rms_gyro
-0.08140286,3.0214825,9.229947,9.712255379,-0.019318614,0.009850202,0.011453724,0.02452393
-0.22984336,3.0454245,9.244312,9.735745616,-0.028481591,0.040393464,0.031612277,0.058670001
-0.045489833,3.052607,9.380781,9.865066193,-0.037644573,0.028787024,0.037110064,0.060191058
0,3.0597897,9.320927,9.81030036,-0.029092457,0.01656972,0.05787948,0.066865244
0.06703765,3.071761,9.292196,9.786987084,-0.003436117,0.005574145,0.019394971,0.020470537
0.062249243,2.9735985,9.534011,9.987168205,0.0173333,-0.0322995,0.009621128,0.037898115
-0.035913024,3.0597897,9.277831,9.769429401,0.015500706,-0.004199699,-0.007483099,0.017717396
-0.04070143,3.040636,9.455002,9.931977986,0.006948592,6.87E-04,0.007788532,0.010460231
-0.07182605,3.0621839,9.22037,9.715829978,0.032604933,0.004352415,-0.02275473,0.039997536
-0.02633622,3.0693667,9.239524,9.736041767,0.022220224,-0.016417004,-0.030085113,0.04084569
-0.1364695,3.0885203,9.364022,9.861160661,0.014278975,0.017180584,-0.05024367,0.054986253
0.033518825,3.1052797,9.476549,9.97240525,0.019165898,0.026343564,-0.03924809,0.051007133
-0.15083471,3.1675289,9.368811,9.890935749,0.03688099,-0.021914791,-0.010537425,0.044175817
-0.08379706,3.083732,9.256283,9.756802754,0.04604397,-0.025579982,-0.011759156,0.053969069
-0.10295067,3.0358477,9.170092,9.660101313,0.025885414,-0.028634308,-0.006261369,0.039104769
-0.10055647,3.0238767,9.098266,9.588137781,0.02649628,7.64E-05,0.012675454,0.029372195
-0.09816227,3.0621839,9.150938,9.650195456,-0.019929478,-0.02985604,-0.011759156,0.037773601
-0.059855044,3.0621839,9.407118,9.893150253,-0.055970527,0.023900103,0.012675454,0.062165762
-0.074220255,3.1435869,9.349657,9.86426547,-0.027870728,0.006185011,-0.014202617,0.031886457
-0.062249243,3.1316159,9.306561,9.819519884,-0.024205536,0.021456642,0.012675454,0.034741367
-0.031124622,3.0454245,9.371204,9.853681725,0.018555032,-0.005421429,-0.002596177,0.01950439
0.05267244,3.086126,9.2347355,9.7369034,-0.03520111,-0.008475755,0.001679879,0.036246083
-0.07182605,3.0550013,9.32332,9.811344849,0.029550606,-0.002367103,-0.027030786,0.040118635
-0.059855044,3.095703,9.349657,9.849012423,0.020998493,0.010461068,-0.027641652,0.03625509
0.10055647,3.0358477,9.275436,9.760132983,0.049098294,-0.07200574,-0.063682705,0.107939594
