lsm6dso_acceleration_sensor.x,lsm6dso_acceleration_sensor.y,lsm6dso_acceleration_sensor.z,rms_acc,lsm6dso_gyroscope_sensor.x,lsm6dso_gyroscope_sensor.y,lsm6dso_gyroscope_sensor.z,rms_gyro
-1.352724,3.229778,10.738294,11.29479022,-0.09750936,0.3030655,0.18310685,0.367266785
-2.528277,2.8802247,12.450149,13.02666838,-0.27832547,0.28901562,0.2948952,0.497954089
-1.9728222,1.5490485,11.265018,11.54089291,-0.1109484,0.13752104,0.59849524,0.624033762
-1.3144168,1.328782,7.2451534,7.482352633,0.3832416,-0.7457901,0.11407909,0.846221623
-2.56419,1.6831238,7.8868,8.462244993,0.2671772,0.11247557,0.41034874,0.502414668
-1.6065093,1.5490485,9.780613,10.03198954,-0.1970804,0.15157095,1.1336132,1.160557333
-0.7302315,2.1523874,8.425495,8.726681818,-0.088346384,-0.42447498,0.4989242,0.660991263
-0.7445967,2.789245,8.377611,8.86107657,-0.25083655,-0.053679783,0.5526803,0.60930781
-0.08619126,2.5570073,9.337686,9.68184358,0.02649628,-0.14775303,0.31505376,0.348986937
-0.1340753,3.1028855,8.882788,9.410090184,0.06009387,-0.21189389,-0.010537425,0.220502452
-0.08619126,3.4237084,9.277831,9.889760169,0.14439327,0.01779145,-0.1742493,0.226999495
-0.08619126,3.1890767,11.224317,11.66888732,-0.20135646,-0.053068917,-0.21578814,0.2998754
-0.2657564,2.9472623,13.630489,13.94801821,-0.32841644,0.62376976,-0.049021937,0.706646462
1.1683705,1.3503298,7.448661,7.659701749,0.4217261,-0.83803076,-0.85047716,1.266277954
0.5650316,2.336741,8.454226,8.789400234,-0.08651379,0.34826955,-0.68126744,0.770001065
-0.5291186,1.9033904,10.506057,10.69018686,0.07964156,0.6115525,-0.15653422,0.636272112
-0.12449849,2.135628,8.102278,8.379935299,0.13217597,-0.55214584,-0.57803124,0.810219495
-0.8810662,2.8993783,7.1350203,7.751850544,0.05459608,-0.36033413,-0.6403395,0.736787685
-0.7182605,3.107674,7.5635824,8.208612219,0.04970916,0.063606344,-0.1217149,0.146052335
-0.94092125,2.9855695,9.93863,10.41994838,-0.23312145,0.35498905,0.026725354,0.425531527
-1.685518,2.4061728,11.609783,11.97571291,-0.29604056,0.082543164,0.29000828,0.422561462
-2.0087352,2.5617957,11.576264,12.02529428,-0.30520356,0.3030655,0.28817567,0.517728816
-1.7022774,1.3359646,12.545917,12.73116582,-0.3815617,0.22365303,1.0957395,1.181632371
-1.6496049,1.271321,6.6250553,6.94469662,0.63003117,-0.4171446,0.14095716,0.768646742
-2.7629087,1.5011644,7.8820114,8.486062853,0.028328875,0.51870096,1.0774136,1.196107552
-0.35194764,1.1492168,9.316138,9.393348372,-0.33330336,0.002519819,1.2594514,1.302810542
-0.031124622,2.207454,8.109461,8.404592769,-0.33513594,-0.2729804,0.65041876,0.780947476
0.050278235,2.6862943,8.8684225,9.266478436,-0.20318905,0.067882404,0.549626,0.589900458
0.36631286,2.8682537,9.239524,9.681418705,0.025885414,0.050167307,0.25335637,0.259569381
0.36152446,2.956839,9.601048,10.05254791,0.0894154,-0.3047454,-0.34101552,0.466000491
-0.40222588,2.7844565,10.932224,11.28842351,0.20242546,0.23953554,-0.26710084,0.411941987
0.050278235,2.4133554,12.392687,12.62558922,-0.27221683,0.3311653,-0.33307427,0.542872847
0.3878607,1.4269443,10.582671,10.68548228,0.53168184,-0.36338845,-0.63789606,0.906448083
0.79008657,1.9991584,6.7495537,7.083596985,-0.09323331,-0.07383834,-0.94027436,0.947766017
-0.12449849,1.7860745,10.606613,10.75666311,0.0332158,0.5480225,-0.29458976,0.623069078
-0.047884032,1.946486,9.29459,9.496341606,0.39423716,-0.15263996,-0.5694791,0.709244909
-0.9672575,2.6862943,6.77589,7.352853149,0.33437237,-0.13920091,-0.75762564,0.839749002
-0.9911995,2.9496565,7.561188,8.176460964,0.09002627,0.0959822,-0.24633141,0.279278491
-1.340753,2.9376855,9.059958,9.618235476,-0.19585867,0.010461068,-0.061850104,0.205658668
-1.4556746,2.3750482,11.186009,11.52764676,-0.41393757,0.054443367,0.31505376,0.52303658
-1.2545617,2.408567,11.066299,11.39465197,-0.28932106,0.04955644,0.069485925,0.30164683
-3.064578,1.721431,12.306496,12.79862519,-0.62163174,0.11675162,0.6601926,0.914281811
-2.087744,0.81881696,9.8955345,10.14646437,0.48953214,-0.39759693,0.17272215,0.653879175
-2.9783869,1.2952632,7.3816233,8.06454325,0.72654784,0.21876612,0.45860708,0.886595078
-1.7549498,1.4820108,7.4941506,7.838271367,0.0173333,0.30245465,1.0914634,1.13272751
-0.50517654,1.9680338,7.594707,7.861802261,-0.31009048,-0.15202908,0.9558514,1.016327135
-0.035913024,2.420538,8.676887,9.008255212,-0.41577014,0.025732698,0.8910997,0.983659319
0.90979666,2.6001031,9.366416,9.763094529,-0.18364136,-0.07506007,0.46471575,0.505290898
0.61530983,2.944868,10.051158,10.49174108,-0.10239629,-0.24365887,-0.09789115,0.281846274
-0.107739076,2.743755,11.183616,11.51577466,0.14989106,-0.035353824,-0.36972618,0.400518003
0.78050977,2.8299465,10.922647,11.31026128,0.317879,-0.2589305,-0.7991645,0.898195948
-1.1851299,1.6496049,13.233052,13.38803176,0.4534911,0.33544138,-0.31047225,0.643869641
0.3184288,1.1587936,8.131008,8.219336385,0.36980253,-0.38110355,-0.85902923,1.009913385
-0.4285621,1.5227122,9.136573,9.272501502,0.053985216,0.35987598,-0.3202461,0.484750131
-0.7230489,1.3311762,9.052776,9.178648217,0.24701864,-0.09705122,-0.44058657,0.514347814
-1.388637,1.8363527,7.307403,7.661503936,0.18043432,-0.112322845,-0.27015516,0.343739401
-1.5131354,2.303222,8.052,8.510529615,-0.02359467,0.23464862,0.24358252,0.339041483
-1.5298948,2.348712,8.037635,8.512379371,-0.05719226,0.2682462,0.4476115,0.52496003
-1.8243817,2.243367,8.492533,8.971297612,-0.51411945,0.37942368,0.86544335,1.075766392
-1.5394717,1.8746599,10.491692,10.76846897,-0.60758185,0.522977,1.2802209,1.51050528
-1.1947067,1.2593501,11.856386,11.98278664,-0.58803415,-0.010308351,1.478752,1.591413806
-2.777274,0.7613561,12.014403,12.35470734,-0.48418707,0.035506543,1.6442965,1.714470418
-1.3934253,-0.50996494,13.431771,13.51348107,-0.9362273,-0.5191591,2.5893052,2.801883143
-2.4660277,-0.22744916,7.855675,8.236786718,1.0906235,-0.26198483,1.5520558,1.91493417
-3.5482068,0.4285621,7.4175363,8.233667575,0.38507417,1.3555863,2.784171,3.120497475
-2.6240451,-1.1180922,10.573094,10.95107573,-0.4133267,0.8284096,3.7811031,3.892793609
-0.09816227,-0.30406362,11.988068,11.99232525,0.17676914,0.43317983,2.920394,2.957633042
-1.3192052,0.7469909,8.044817,8.186414253,0.5677229,0.80092067,2.2417228,2.447264661
